      Star               S/N  Teff   err  logg  errR  errA [Fe/H] errR  errA  micro errR  errA     ab(C)  errR  errA  [C/Fe]  errR  errA   N N3    ab(Mg)  errR  errA [Mg/Fe]  errR  errA   N N3    ab(Al)  errR  errA [Al/Fe]  errR  errA   N N3    ab(Ca)  errR  errA [Ca/Fe]  errR  errA   N N3    ab(Sc)  errR  errA [Sc/Fe]  errR  errA   N N3    ab(Ti)  errR  errA [Ti/Fe]  errR  errA   N N3     ab(V)  errR  errA  [V/Fe]  errR  errA   N N3    ab(Cr)  errR  errA [Cr/Fe]  errR  errA   N N3    ab(Mn)  errR  errA [Mn/Fe]  errR  errA   N N3    ab(Fe)  errR  errA [Fe/Fe]  errR  errA   N N3    ab(Co)  errR  errA [Co/Fe]  errR  errA   N N3    ab(Ni)  errR  errA [Ni/Fe]  errR  errA   N N3    ab(Zn)  errR  errA [Zn/Fe]  errR  errA   N N3    ab(Sr)  errR  errA [Sr/Fe]  errR  errA   N N3     ab(Y)  errR  errA  [Y/Fe]  errR  errA   N N3    ab(Zr)  errR  errA [Zr/Fe]  errR  errA   N N3    ab(Ba)  errR  errA [Ba/Fe]  errR  errA   N N3    ab(La)  errR  errA [La/Fe]  errR  errA   N N3    ab(Ce)  errR  errA [Ce/Fe]  errR  errA   N N3    ab(Nd)  errR  errA [Nd/Fe]  errR  errA   N N3    ab(Sm)  errR  errA [Sm/Fe]  errR  errA   N N3    ab(Eu)  errR  errA [Eu/Fe]  errR  errA   N N3
        HE1052-2548       93  6534   100  4.52  0.25  0.35 -2.29  0.12  0.17  1.57  0.13  0.23      6.61  0.14  0.22    0.51  0.17  0.26   1  1      5.45  0.11  0.17    0.16  0.14  0.23   7  1      3.70  0.12  0.21   -0.48  0.15  0.25   1  1      4.34  0.11  0.19    0.27  0.14  0.24   9  7      1.14  0.17  0.22    0.27  0.16  0.25   5  2      3.17  0.15  0.20    0.45  0.15  0.24  17  9     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      3.26  0.13  0.18   -0.12  0.15  0.22   3  3      2.62  0.14  0.19   -0.48  0.15  0.23   5  3      5.21  0.12  0.17    0.00  0.14  0.22  55 35      2.88  0.14  0.21    0.25  0.16  0.25   6  1      3.99  0.15  0.19    0.03  0.15  0.22   4  1     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.93  0.18  0.27    0.26  0.18  0.28   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      0.71  0.18  0.23    0.88  0.17  0.25   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE1054-0059       38  4601   100  1.19  0.27  0.37 -3.34  0.13  0.18  2.21  0.14  0.24      4.32  0.22  0.29   -0.73  0.20  0.29   1  1      4.51  0.13  0.19    0.27  0.15  0.23   7  4      2.36  0.21  0.29   -0.77  0.23  0.31   1  1      3.26  0.12  0.20    0.24  0.15  0.24   9  3     -0.04  0.17  0.22    0.12  0.16  0.25   5  3      1.88  0.16  0.21    0.20  0.15  0.23  17 11     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      1.69  0.16  0.22   -0.64  0.16  0.24   3  3      1.43  0.16  0.22   -0.62  0.16  0.24   5  3      4.16  0.13  0.18    0.00  0.14  0.22  55 40      1.80  0.16  0.22    0.22  0.15  0.24   6  5      2.93  0.19  0.27    0.01  0.19  0.28   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -1.08  0.23  0.32   -0.71  0.22  0.32   3  2     -1.43  0.20  0.24   -0.33  0.18  0.26   6  2     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -2.42  0.19  0.23   -1.21  0.17  0.25   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE1059-0118       49  5560   100  4.30  0.25  0.35 -2.81  0.12  0.18  1.28  0.18  0.28      5.95  0.19  0.25    0.37  0.17  0.26   1  1      5.24  0.12  0.18    0.46  0.15  0.24   7  3      2.93  0.14  0.22   -0.73  0.16  0.25   1  1      3.86  0.12  0.20    0.31  0.14  0.24   9  7      0.50  0.18  0.23    0.14  0.18  0.28   5  2      2.42  0.16  0.21    0.21  0.16  0.27  17  8     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.51  0.14  0.20   -0.36  0.15  0.23   3  3      2.14  0.17  0.22   -0.45  0.17  0.25   5  2      4.70  0.12  0.18    0.00  0.14  0.22  55 35      2.44  0.15  0.22    0.32  0.16  0.25   6  3      3.55  0.15  0.21    0.11  0.16  0.24   4  3     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -0.34  0.19  0.26   -0.50  0.19  0.30   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE1100-0137       50  6101   100  4.25  0.32  0.42 -2.92  0.13  0.18  1.29  0.17  0.27      5.96  0.21  0.28    0.47  0.22  0.30   1  1     -9.99  0.00  0.00   -9.99  0.00  0.00   7  0      2.39  0.14  0.21   -1.17  0.16  0.26   1  1      3.67  0.12  0.20    0.22  0.15  0.25   9  2      0.49  0.18  0.23    0.22  0.18  0.27   5  1      2.37  0.17  0.23    0.25  0.17  0.27  17  5     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.38  0.15  0.19   -0.39  0.15  0.23   3  3      2.19  0.15  0.20   -0.30  0.16  0.24   5  2      4.60  0.13  0.18    0.00  0.14  0.22  55 23      2.57  0.15  0.21    0.55  0.16  0.25   6  1      3.27  0.16  0.20   -0.07  0.16  0.23   4  2     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0      0.65  0.20  0.25    2.05  0.19  0.28   9  1     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE1105+0027       43  6132   100  3.45  0.25  0.35 -2.42  0.13  0.19  1.52  0.14  0.24      7.97  0.15  0.23    2.00  0.17  0.28   1  1      5.63  0.11  0.17    0.47  0.16  0.24   7  2      3.16  0.15  0.22   -0.89  0.17  0.26   1  1      4.41  0.12  0.20    0.47  0.15  0.25   9  6      1.03  0.17  0.22    0.28  0.15  0.23   5  2      2.92  0.15  0.21    0.32  0.15  0.23  17  6     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      3.30  0.16  0.22    0.05  0.15  0.23   3  3      2.46  0.15  0.20   -0.51  0.15  0.24   5  3      5.08  0.13  0.19    0.00  0.14  0.22  55 34     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0      3.54  0.16  0.20   -0.29  0.16  0.23   4  2     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      1.28  0.20  0.29    0.73  0.18  0.28   3  2      0.57  0.18  0.23    0.75  0.16  0.24   6  1     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.16  0.11  0.18    2.45  0.16  0.23   2  2      0.85  0.17  0.22    2.10  0.15  0.24   6  4     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0      1.14  0.18  0.23    2.06  0.16  0.24   9  4     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -0.10  0.18  0.23    1.81  0.16  0.24   4  4
        HE1120-0153      194  6191   100  4.09  0.24  0.34 -2.77  0.11  0.17  0.68  0.12  0.22      6.26  0.16  0.23    0.63  0.17  0.26   1  1      4.86  0.11  0.17    0.04  0.14  0.23   7  1      2.64  0.13  0.20   -1.07  0.14  0.25   1  1      3.80  0.11  0.19    0.20  0.15  0.24   9  2      0.61  0.16  0.22    0.20  0.15  0.25   5  1      2.56  0.15  0.21    0.30  0.15  0.25  17  5     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.69  0.14  0.19   -0.22  0.15  0.22   3  3      1.94  0.14  0.19   -0.69  0.15  0.23   5  1      4.74  0.11  0.17    0.00  0.14  0.22  55 34     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0      3.30  0.14  0.19   -0.19  0.15  0.22   4  2     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.03  0.18  0.25   -0.18  0.17  0.27   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.76  0.15  0.20   -0.13  0.15  0.24   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE1122-1429       44  5787   100  3.29  0.27  0.37 -2.65  0.13  0.18  1.54  0.15  0.25      6.18  0.18  0.25    0.44  0.18  0.28   1  1      5.26  0.11  0.17    0.34  0.16  0.24   7  2      2.89  0.15  0.22   -0.92  0.16  0.26   1  1      4.21  0.11  0.20    0.50  0.15  0.25   9  7      0.55  0.18  0.23    0.04  0.16  0.25   5  2      2.67  0.17  0.23    0.30  0.16  0.24  17  6     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.74  0.15  0.20   -0.27  0.15  0.23   3  3      2.00  0.15  0.20   -0.74  0.15  0.23   5  2      4.85  0.13  0.18    0.00  0.14  0.22  55 32      2.41  0.16  0.22    0.14  0.15  0.25   6  1      3.27  0.19  0.22   -0.32  0.17  0.24   4  3     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.26  0.23  0.33   -0.05  0.21  0.31   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.87  0.19  0.23   -0.34  0.16  0.25   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE1124-2335       48  5226   100  2.68  0.26  0.36 -2.95  0.14  0.19  1.65  0.13  0.23      6.31  0.19  0.26    0.86  0.18  0.28   1  1      5.00  0.11  0.19    0.35  0.19  0.27   7  6     -9.99  0.00  0.00   -9.99  0.00  0.00   0  0      3.62  0.12  0.20    0.19  0.15  0.25   9  7      0.41  0.16  0.21    0.18  0.15  0.23   5  4      2.43  0.16  0.21    0.34  0.15  0.23  17 12     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.69  0.17  0.24   -0.05  0.16  0.24   3  3      2.18  0.16  0.21   -0.28  0.15  0.23   5  3      4.57  0.14  0.19    0.00  0.14  0.22  55 42      2.34  0.16  0.22    0.35  0.15  0.24   6  6      3.56  0.18  0.27    0.25  0.17  0.26   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.12  0.22  0.32    0.09  0.19  0.30   3  2     -0.68  0.19  0.23    0.01  0.16  0.25   6  2     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -1.86  0.19  0.23   -1.06  0.16  0.25   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE1126-1735       46  5689   100  3.31  0.28  0.38 -2.69  0.13  0.18  1.55  0.15  0.25      5.93  0.18  0.25    0.23  0.18  0.28   1  1      5.20  0.11  0.17    0.31  0.16  0.24   7  3      2.72  0.13  0.21   -1.06  0.15  0.24   1  1      4.00  0.12  0.20    0.32  0.15  0.25   9  5      0.55  0.18  0.23    0.07  0.16  0.25   5  2      2.66  0.16  0.22    0.33  0.15  0.24  17  6     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.69  0.18  0.22   -0.29  0.16  0.23   3  3      1.99  0.16  0.20   -0.71  0.15  0.23   5  3      4.81  0.13  0.18    0.00  0.14  0.22  55 34      2.35  0.15  0.22    0.12  0.15  0.25   6  2      3.53  0.13  0.24   -0.04  0.17  0.26   4  3     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.11  0.22  0.32   -0.17  0.20  0.31   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -1.02  0.19  0.24   -0.46  0.17  0.25   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE1127-1143       49  5224   100  2.64  0.25  0.35 -2.73  0.14  0.19  1.59  0.14  0.24      6.21  0.19  0.25    0.54  0.17  0.27   1  1      5.08  0.11  0.18    0.22  0.16  0.25   7  6      2.87  0.16  0.25   -0.87  0.17  0.26   1  1      3.89  0.12  0.20    0.26  0.15  0.25   9  8      0.57  0.18  0.23    0.13  0.15  0.24   5  4      2.48  0.16  0.21    0.19  0.14  0.23  17 13     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.65  0.17  0.24   -0.29  0.15  0.24   3  3      1.92  0.17  0.22   -0.75  0.15  0.23   5  2      4.78  0.14  0.19    0.00  0.14  0.22  55 46      2.48  0.16  0.22    0.28  0.15  0.24   6  6      3.71  0.20  0.28    0.19  0.17  0.26   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.49  0.22  0.30    0.24  0.19  0.28   3  1     -0.27  0.19  0.24    0.22  0.16  0.24   6  3     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      0.03  0.22  0.29    0.63  0.19  0.27   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -0.37  0.19  0.23    0.86  0.16  0.24   9  2     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -1.14  0.18  0.23    1.08  0.15  0.24   4  3
        HE1128-0823       65  5909   100  3.71  0.25  0.35 -2.71  0.13  0.18  1.49  0.13  0.23      6.15  0.17  0.24    0.47  0.17  0.27   1  1      5.10  0.12  0.18    0.23  0.15  0.23   7  2      2.79  0.14  0.21   -0.97  0.15  0.25   1  1      3.99  0.11  0.20    0.34  0.15  0.25   9  7      0.71  0.17  0.23    0.25  0.16  0.24   5  2      2.73  0.15  0.20    0.42  0.15  0.23  17  7     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.66  0.15  0.19   -0.30  0.15  0.22   3  3      1.96  0.15  0.20   -0.72  0.15  0.23   5  3      4.79  0.13  0.18    0.00  0.14  0.22  55 37      2.40  0.14  0.21    0.20  0.15  0.24   6  2      3.55  0.22  0.26    0.01  0.19  0.25   4  3     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.28  0.17  0.28    0.02  0.17  0.28   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.74  0.18  0.23   -0.16  0.16  0.25   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE1131+0141       45  5236   100  2.98  0.25  0.35 -2.48  0.13  0.18  1.63  0.14  0.24      6.02  0.20  0.25    0.12  0.17  0.26   1  1      5.33  0.12  0.18    0.23  0.15  0.23   7  5      3.15  0.18  0.26   -0.84  0.21  0.29   1  1      4.15  0.12  0.20    0.28  0.15  0.24   9  8      0.67  0.18  0.24   -0.01  0.16  0.26   5  3      2.71  0.17  0.22    0.18  0.16  0.25  17 12     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.94  0.16  0.25   -0.25  0.16  0.25   3  3      2.44  0.17  0.22   -0.47  0.16  0.24   5  3      5.01  0.13  0.18    0.00  0.14  0.22  55 49      2.38  0.16  0.22   -0.05  0.15  0.25   6  5      3.72  0.18  0.27   -0.04  0.18  0.26   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.63  0.17  0.25    0.15  0.17  0.26   3  2     -0.18  0.18  0.23    0.07  0.16  0.26   6  3     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      0.17  0.19  0.25    0.52  0.18  0.26   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -1.10  0.18  0.23    0.87  0.16  0.26   4  3
        HE1132+0125       50  5732   100  3.54  0.26  0.36 -2.42  0.11  0.18  1.41  0.13  0.23      6.25  0.18  0.24    0.24  0.20  0.28   1  1      5.58  0.11  0.18    0.38  0.15  0.24   7  5      3.09  0.15  0.23   -1.00  0.17  0.26   1  1      4.29  0.11  0.20    0.31  0.15  0.25   9  7      0.83  0.18  0.23    0.04  0.18  0.28   5  3      2.83  0.16  0.21    0.19  0.17  0.26  17 10     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      3.07  0.17  0.23   -0.22  0.17  0.25   3  3      2.15  0.16  0.21   -0.86  0.18  0.26   5  2      5.12  0.11  0.18    0.00  0.14  0.22  55 44      2.58  0.15  0.21    0.04  0.17  0.26   6  3      3.62  0.18  0.23   -0.25  0.18  0.25   4  3     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.56  0.19  0.29   -0.03  0.19  0.29   3  2     -0.19  0.18  0.23   -0.05  0.19  0.28   6  1     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.41  0.19  0.24   -0.16  0.19  0.28   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE1132+0204       42  5046   100  2.25  0.25  0.35 -2.55  0.11  0.18  1.68  0.13  0.23      5.99  0.20  0.26    0.13  0.20  0.29   1  1      5.25  0.12  0.18    0.20  0.15  0.24   7  6      2.90  0.19  0.27   -1.04  0.20  0.28   1  1      4.01  0.11  0.20    0.18  0.14  0.25   9  8      0.59  0.15  0.21   -0.05  0.15  0.25   5  4      2.56  0.16  0.21    0.07  0.16  0.25  17 15     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.93  0.19  0.28   -0.21  0.19  0.27   3  3      2.32  0.17  0.23   -0.54  0.17  0.25   5  3      4.97  0.11  0.18    0.00  0.14  0.22  54 52      2.54  0.16  0.22    0.15  0.16  0.26   6  6      3.73  0.19  0.30    0.01  0.19  0.28   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.22  0.21  0.32   -0.22  0.21  0.31   3  2     -0.70  0.19  0.24   -0.41  0.18  0.27   6  3     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -1.09  0.21  0.26   -0.69  0.20  0.28   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -1.77  0.19  0.23    0.25  0.18  0.28   4  1
        HE1135+0139       47  5487   100  1.80  0.26  0.36 -2.33  0.13  0.18  2.66  0.12  0.22      7.28  0.17  0.25    1.19  0.19  0.29   1  1      5.60  0.11  0.17    0.33  0.15  0.24   7  7      3.28  0.17  0.24   -0.89  0.17  0.26   1  1      4.44  0.12  0.20    0.38  0.15  0.25   9  8      1.02  0.18  0.23    0.15  0.16  0.24   5  5      2.86  0.18  0.23    0.14  0.16  0.25  17 15      1.72  0.16  0.21    0.03  0.16  0.24   3  1      3.13  0.14  0.21   -0.24  0.14  0.22   3  3      2.64  0.16  0.21   -0.44  0.16  0.23   5  2      5.19  0.13  0.18    0.00  0.14  0.22  55 47      2.76  0.17  0.23    0.14  0.17  0.26   6  5      3.95  0.14  0.21    0.01  0.15  0.23   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      1.32  0.18  0.25    0.66  0.17  0.26   3  1      0.29  0.18  0.23    0.36  0.16  0.24   6  6      0.75  0.16  0.21    0.46  0.15  0.24   3  1      0.95  0.18  0.23    1.13  0.16  0.24   2  2     -0.21  0.18  0.23    0.93  0.16  0.25   6  4      0.45  0.18  0.25    1.17  0.16  0.27  10  6     -0.03  0.18  0.23    0.77  0.16  0.25   9  2     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -1.46  0.18  0.23    0.33  0.16  0.25   4  1
        HE1135-0344       45  6154   100  4.03  0.31  0.41 -2.63  0.12  0.18  1.17  0.17  0.27      6.80  0.16  0.24    1.03  0.17  0.27   1  1     -9.99  0.00  0.00   -9.99  0.00  0.00   7  0      2.58  0.15  0.22   -1.26  0.17  0.26   1  1      4.00  0.12  0.20    0.27  0.15  0.25   9  3      0.72  0.18  0.24    0.18  0.18  0.26   5  1      2.84  0.16  0.21    0.45  0.16  0.25  17  6     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.82  0.15  0.20   -0.22  0.15  0.23   3  3      2.09  0.15  0.20   -0.67  0.16  0.24   5  1      4.87  0.12  0.18    0.00  0.14  0.22  55 29      2.60  0.16  0.22    0.30  0.16  0.26   6  1      3.48  0.16  0.20   -0.14  0.16  0.23   4  2     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.72  0.22  0.31    0.38  0.21  0.31   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE1148-0037       76  5964   100  4.16  0.35  0.45 -3.47  0.13  0.18  0.81  0.20  0.30      5.76  0.20  0.27    0.84  0.19  0.29   1  1      4.03  0.41  0.44   -0.09  0.35  0.40   7  1      1.98  0.14  0.21   -1.02  0.16  0.26   1  1      2.95  0.17  0.23    0.06  0.16  0.26   9  1     -9.99  0.00  0.00   -9.99  0.00  0.00   5  0      1.97  0.18  0.23    0.41  0.18  0.27  17  1     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -9.99  0.00  0.00   -9.99  0.00  0.00   5  0      4.03  0.13  0.18    0.00  0.14  0.22  55 18     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0      2.52  0.20  0.23   -0.26  0.18  0.25   4  1     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -0.92  0.19  0.26   -0.42  0.19  0.29   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE1207-2031       50  6281   100  4.40  0.30  0.40 -2.82  0.12  0.17  1.42  0.16  0.26      6.21  0.19  0.26    0.64  0.19  0.28   1  1     -9.99  0.00  0.00   -9.99  0.00  0.00   7  0      2.70  0.14  0.21   -0.96  0.15  0.25   1  1      4.05  0.11  0.20    0.50  0.15  0.25   9  3      0.78  0.18  0.23    0.43  0.17  0.26   5  1      2.75  0.16  0.22    0.54  0.16  0.25  17  5     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.65  0.14  0.19   -0.20  0.15  0.23   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   5  0      4.68  0.12  0.17    0.00  0.14  0.22  55 24     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0      3.29  0.15  0.19   -0.14  0.15  0.23   4  2     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -0.01  0.19  0.26   -0.16  0.18  0.28   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE1210+0048       49  6028   100  3.73  0.27  0.37 -2.28  0.11  0.18  1.56  0.14  0.24      6.70  0.16  0.23    0.57  0.18  0.28   1  1      5.57  0.12  0.18    0.25  0.15  0.25   7  3      3.06  0.15  0.22   -1.15  0.17  0.26   1  1      4.42  0.11  0.20    0.32  0.15  0.25   9  7      0.98  0.18  0.23    0.07  0.18  0.27   5  1      3.08  0.16  0.21    0.32  0.16  0.25  17 10     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      3.27  0.16  0.22   -0.14  0.16  0.24   3  3      2.46  0.15  0.20   -0.67  0.17  0.25   5  2      5.24  0.11  0.18    0.00  0.14  0.22  55 41      2.80  0.15  0.21    0.14  0.16  0.26   6  2      3.75  0.17  0.21   -0.24  0.17  0.24   4  2     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.64  0.22  0.32   -0.07  0.21  0.30   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.18  0.19  0.24   -0.05  0.19  0.27   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0      0.61  0.18  0.23    1.37  0.18  0.28   9  1      1.06  0.19  0.24    2.31  0.19  0.28   8  1     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
